Trajectory,Scenario,RMSE_before_m,RMSE_after_m,GPS_Rejection@Attack_%,GPS_FalseRej@Clean_%,RSSI_Rejection@Attack_%,RSSI_FalseRej@Clean_%,Consistency_3sigma_%,TimeToDetect_s,ModeSwitches,%GPS,%RSSI,%BLEND,%DR,MeanConf_before,MeanConf_after
Straight-Line Climb,Nominal (No Attack),0.3037026082155268,0.251737986182235,1.3000000000000012,2.3250000000000015,2.800000000000001,2.408333333333334,99.45,10.0,1.0,98.55000000000001,0.0,1.4500000000000002,0.0,0.9491995170889167,0.9489299471603863
Straight-Line Climb,GPS Spoofing,0.3037026082155268,0.242051530534303,15.924999999999995,2.3250000000000015,2.800000000000001,2.408333333333334,99.71666666666667,10.0,1.0,98.55000000000001,0.0,1.4500000000000002,0.0,0.9491995170889167,0.8327254228350797
Straight-Line Climb,GPS Jamming,0.3037026082155268,0.7520898171396466,1.700000000000001,2.3250000000000015,2.800000000000001,2.408333333333334,96.81666666666666,1.9050000000000002,2.0,58.075,0.0,41.925,0.0,0.9491995170889167,0.9452236668934
Straight-Line Climb,RSSI Degradation,0.3037026082155268,0.23559910590669927,1.3000000000000012,2.3250000000000015,38.775000000000006,2.408333333333334,98.65,10.0,1.0,98.55000000000001,0.0,1.4500000000000002,0.0,0.9491995170889167,0.7026237887587043
Straight-Line Climb,Combined Attack,0.3037026082155268,1.1218179429687474,16.549999999999997,2.3250000000000015,38.775000000000006,2.408333333333334,99.70833333333333,3.0649999999999995,2.0,63.875,0.0,36.125,0.0,0.9491995170889167,0.5812440201172797
Straight-Line Climb,Sudden Total Outage,0.31529972992351263,0.4418705213973245,0.8541666666666675,2.3125000000000013,1.8125000000000007,2.416666666666667,99.34166666666667,12.0,1.0,98.55000000000001,0.0,1.4500000000000002,0.0,0.9475413152624448,0.9686812449233957
Helical Turn,Nominal (No Attack),0.2872442432521277,0.1880556750672918,1.325000000000001,2.3250000000000015,3.2000000000000015,2.041666666666667,99.61666666666667,10.0,1.0,98.05,0.0,1.95,0.0,0.9520819781626135,0.9458185727691131
Helical Turn,GPS Spoofing,0.2872442432521277,0.16690542054864424,15.949999999999998,2.3250000000000015,3.2000000000000015,2.041666666666667,99.86666666666667,10.0,1.0,98.05,0.0,1.95,0.0,0.9520819781626135,0.8296164240399237
Helical Turn,GPS Jamming,0.2872442432521277,0.7267816722184631,1.625000000000001,2.3250000000000015,3.2000000000000015,2.041666666666667,97.33333333333334,1.620000000000001,2.0,56.15,0.0,43.85,0.0,0.9520819781626135,0.942728056624659
Helical Turn,RSSI Degradation,0.2872442432521277,0.11504322006113883,1.325000000000001,2.3250000000000015,39.80000000000001,2.041666666666667,99.875,10.0,1.0,98.05,0.0,1.95,0.0,0.9520819781626135,0.6975715995718275
